Date,Number
2024-12-08 09:59:23,598111
2024-12-08 09:59:24,598123
2024-12-08 09:59:26,598131
2024-12-08 09:59:28,598139
2024-12-08 09:59:30,598151
2024-12-08 09:59:32,598157
2024-12-08 09:59:34,598166
2024-12-08 09:59:37,598174
2024-12-08 09:59:39,598182
2024-12-08 09:59:41,598191
2024-12-08 09:59:43,598198
2024-12-08 09:59:45,598209
2024-12-08 09:59:47,598214
2024-12-08 09:59:49,598234
2024-12-08 09:59:51,598245
2024-12-08 09:59:53,598256
2024-12-08 09:59:55,598265
2024-12-08 09:59:57,598272
2024-12-08 10:00:00,598278
2024-12-08 10:00:02,598287
2024-12-08 10:00:04,598302
2024-12-08 10:00:06,598313
2024-12-08 10:00:08,598321
2024-12-08 10:00:10,598338
2024-12-08 10:00:12,598344
2024-12-08 10:00:14,598350
2024-12-08 10:00:16,598360
2024-12-08 10:00:19,598370
2024-12-08 10:00:21,598376
2024-12-08 10:00:23,598388
2024-12-08 10:00:25,598400
2024-12-08 10:00:27,598413
2024-12-08 10:00:29,598424
2024-12-08 10:00:31,598436
2024-12-08 10:00:33,598449
2024-12-08 10:00:35,598457
2024-12-08 10:00:38,598467
2024-12-08 10:00:40,598477
2024-12-08 10:00:42,598509
2024-12-08 10:00:49,598517
2024-12-08 10:00:51,598523
2024-12-08 10:00:53,598529
2024-12-08 10:00:55,598538
2024-12-08 10:00:57,598551
2024-12-08 10:00:59,598557
2024-12-08 10:01:01,598566
2024-12-08 10:01:03,598573
2024-12-08 10:01:05,598582
2024-12-08 10:01:08,598591
2024-12-08 10:01:10,598603
2024-12-08 10:01:12,598616
2024-12-08 10:01:14,598631
2024-12-08 10:01:16,598639
2024-12-08 10:01:18,598643
2024-12-08 10:01:20,598651
2024-12-08 10:01:22,598657
2024-12-08 10:01:24,598670
2024-12-08 10:01:27,598680
2024-12-08 10:01:29,598693
2024-12-08 10:01:31,598704
2024-12-08 10:01:33,598711
2024-12-08 10:01:35,598722
2024-12-08 10:01:37,598732
2024-12-08 10:01:39,598739
2024-12-08 10:01:41,598749
2024-12-08 10:01:43,598755
2024-12-08 10:01:45,598763
2024-12-08 10:01:47,598776
2024-12-08 10:01:49,598784
2024-12-08 10:01:52,598794
2024-12-08 10:01:54,598802
2024-12-08 10:01:56,598806
2024-12-08 10:01:58,598818
2024-12-08 10:02:00,598829
2024-12-08 10:02:02,598840
2024-12-08 10:02:04,598846
2024-12-08 10:02:06,598853
2024-12-08 10:02:08,598860
2024-12-08 10:02:10,598871
2024-12-08 10:02:12,598883
2024-12-08 10:02:15,598893
2024-12-08 10:02:17,598896
2024-12-08 10:02:19,598910
2024-12-08 10:02:21,598917
2024-12-08 10:02:23,598928
2024-12-08 10:02:25,598937
2024-12-08 10:02:27,598946
2024-12-08 10:02:29,598953
2024-12-08 10:02:31,598961
2024-12-08 10:02:33,598974
2024-12-08 10:02:36,598984
2024-12-08 10:02:38,598993
2024-12-08 10:02:40,599005
2024-12-08 10:02:42,599014
2024-12-08 10:02:44,599022
2024-12-08 10:02:46,599034
2024-12-08 10:02:48,599042
2024-12-08 10:02:50,599052
2024-12-08 10:02:52,599066
2024-12-08 10:02:54,599071
2024-12-08 10:02:56,599080
2024-12-08 10:02:58,599093
2024-12-08 10:03:01,599106
2024-12-08 10:03:03,599112
2024-12-08 10:03:05,599118
2024-12-08 10:03:07,599124
2024-12-08 10:03:09,599130
2024-12-08 10:03:11,599141
2024-12-08 10:03:13,599147
2024-12-08 10:03:15,599162
2024-12-08 10:03:17,599167
